Serial Number,Receipt Number,Date,Register Name,Draft Name,Occupants,Total Product Count,Product Name,Product Category,Product Notes,Product Quantity,Product Price,Product Tax,Product Zero Tax,Product Discount,Product Coupon Code,Product Total,Subtotal Price,Tax,Zero Tax,Bulk Discount,Bulk Coupon Code,Discount,Roundoff,Packaging Small,Tea Kettle,Small Packaging,Packaging large,Packaging medium,Total Price,Cash Refund,Card Refund,Other Refund,Payment Status,Fulfillment Status,Cancellation Status,Delivery Date,Tags,Channel Name,Brand Name,Channel Id,,Customer Name,Shipping Address,Customer Tags,Redemption CRM,Redemption Type
SA6222,SA-Q2I-2007-6223,"Nov 1, 2021 16:30",,,,,Cheesy Loaded Nachos,Fries & Nachos,,1,110,0,0,0,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6222,SA-Q2I-2007-6223,"Nov 1, 2021 16:30",,,,,Peach Iced Tea,Iced Tea / Mocktails / Coolers,,1,95,0,0,0,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6222,SA-Q2I-2007-6223,"Nov 1, 2021 16:30",,,,,Hot Coffee- Hazelnut,Coffee,,1,90,0,0,0,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6222,SA-Q2I-2007-6223,"Nov 1, 2021 16:30",,,,,Butter Masala Sweet Corn,Samosas & More,,1,60,0,0,0,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6220,SA-Q2I-2007-6224,"Nov 1, 2021 16:47",Main Register,Table 4,,4,Classic Margherita Pizza,Pizza,,1,99,0,0,0,,99,809,0,,0,,0,0,,,,,,809,0,0,0,paid,fulfilled,,,,,,,,,,,,
SA6220,SA-Q2I-2007-6224,"Nov 1, 2021 16:47",,,,,Cheesy Loaded Nachos,Fries & Nachos,,1,110,0,0,0,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6220,SA-Q2I-2007-6224,"Nov 1, 2021 16:47",,,,,Tandoori Veggie Wrap,Wraps,,6,570,0,0,0,,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6220,SA-Q2I-2007-6224,"Nov 1, 2021 16:47",,,,,Water (500 ml),Unchai,,2,30,0,0,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6223,SA-Q2I-2007-6225,"Nov 1, 2021 17:13",Main Register,Table 4,,2,White Sauce / Alfredo Penne Pasta,Pasta,,1,150,0,0,0,,150,270,0,,0,,0,0,,,,,,270,0,0,0,paid,fulfilled,,,,,,,,sam,,,,
SA6223,SA-Q2I-2007-6225,"Nov 1, 2021 17:13",,,,,Veg Cheese Sandwich,Grilled Sandwiches,,1,120,0,0,0,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6221,SA-Q2I-2007-6226,"Nov 1, 2021 17:18",Main Register,Table 1,,1,Cheesy Loaded Nachos,Fries & Nachos,,1,110,0,0,0,,110,110,0,,0,,0,0,,,,,,110,0,0,0,paid,fulfilled,,,,,,,,Parnika,,,,
SA6224,SA-Q2I-2007-6227,"Nov 1, 2021 17:20",Main Register,Table 5,,3,Sandwich + 2 Chai / Adrak Chai / Fresh Veggie Sandwich,Everyday Combos,,1,169,0,0,0,,169,397,0,,0,,0,0,,,,,,397,0,0,0,paid,fulfilled,,,,,,,,agrima,,,,
SA6224,SA-Q2I-2007-6227,"Nov 1, 2021 17:20",,,,,Maggi + Chai / Adrak Chai / Butter Maggi,Everyday Combos,,1,89,0,0,0,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6224,SA-Q2I-2007-6227,"Nov 1, 2021 17:20",,,,,Paneer Corn Pizza,Pizza,,1,139,0,0,0,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6227,SA-Q2I-2007-6228,"Nov 1, 2021 17:55",Main Register,Table 1,,2,Adrak Chai,Chai,,1,25,0,0,0,,25,55,0,,0,,0,0,,,,,,55,0,0,0,paid,fulfilled,,,,,,,,,,,,
SA6227,SA-Q2I-2007-6228,"Nov 1, 2021 17:55",,,,,Elaichi Chai,Chai,,1,30,0,0,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6225,SA-Q2I-2007-6229,"Nov 1, 2021 17:55",Main Register,Table 3,,2,Adrak Chai,Chai,,3,75,0,0,0,,75,155,0,,44.5,,44.5,0.5,,,,,,111,0,0,0,paid,fulfilled,,,,,,,,karan,,,Bingage,Wallet
SA6225,SA-Q2I-2007-6229,"Nov 1, 2021 17:55",,,,,Bun Maska,Maska Bun,,2,80,0,0,0,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6226,SA-Q2I-2007-6230,"Nov 1, 2021 18:29",Main Register,Table 5,,2,White Sauce / Alfredo Penne Pasta,Pasta,,1,150,0,0,0,,150,200,0,,0,,0,0,,,,,,200,0,0,0,paid,fulfilled,,,,,,,,Aniket,,,,
SA6226,SA-Q2I-2007-6230,"Nov 1, 2021 18:29",,,,,Classic Hot Coffee,Coffee,,1,50,0,0,0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6228,SA-Q2I-2007-6231,"Nov 1, 2021 19:25",Main Register,Table 5,,4,Adrak Elaichi Chai,Chai,,1,40,0,0,0,,40,305,0,,0,,0,0,,,,,,305,0,0,0,paid,fulfilled,,,,,,,,rajat,,,,
SA6228,SA-Q2I-2007-6231,"Nov 1, 2021 19:25",,,,,Classic Hot Coffee,Coffee,,1,50,0,0,0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6228,SA-Q2I-2007-6231,"Nov 1, 2021 19:25",,,,,Veg Cheese Burger,Burgers,,1,95,0,0,0,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6228,SA-Q2I-2007-6231,"Nov 1, 2021 19:25",,,,,Paneer Tandoori Momos,Momos,,1,120,0,0,0,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6229,SA-Q2I-2007-6232,"Nov 1, 2021 20:15",Main Register,Table 5,,2,Spicy Vada Pav,Vada Pav,,2,140,0,0,0,,140,190,0,,0,,0,0,,,,,,190,0,0,0,paid,fulfilled,,,,,,,,Saurabh,,,,
SA6229,SA-Q2I-2007-6232,"Nov 1, 2021 20:15",,,,,Adrak Chai,Chai,,2,50,0,0,0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6230,SA-Q2I-2007-6233,"Nov 1, 2021 20:26",Main Register,Table 2,,2,Tandoori Veggie Wrap,Wraps,,1,95,0,0,0,,95,145,0,,0,,0,0,,,,,,145,0,0,0,paid,fulfilled,,,,,,,,Anushka,,,,
SA6230,SA-Q2I-2007-6233,"Nov 1, 2021 20:26",,,,,Adrak Chai,Chai,,2,50,0,0,0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6231,SA-Q2I-2007-6234,"Nov 1, 2021 21:07",Main Register,Table 4,,1,Adrak Chai,Chai,,2,50,0,0,0,,50,50,0,,0,,0,0,,,,,,50,0,0,0,paid,fulfilled,,,,,,,,akash,,,,
SA6232,SA-Q2I-2007-6235,"Nov 1, 2021 21:29",Main Register,Table 2,,4,Aloo Samosa (2Pcs),Samosas & More,,1,25,0,0,0,,25,254,0,,0,,0,0,,,5,,,259,0,0,0,paid,fulfilled,,,,,,,,Ansh,,,,
SA6232,SA-Q2I-2007-6235,"Nov 1, 2021 21:29",,,,,Bun Maska,Maska Bun,,1,40,0,0,0,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6232,SA-Q2I-2007-6235,"Nov 1, 2021 21:29",,,,,Masala Chai,Chai,,2,70,0,0,0,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6232,SA-Q2I-2007-6235,"Nov 1, 2021 21:29",,,,,Capsicum + Sweet Corn Pizza,Pizza,,1,119,0,0,0,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6233,SA-Q2I-2007-6236,"Nov 1, 2021 21:39",Main Register,Table 3,,1,Laung Elaichi Chai,Chai,,1,45,0,0,0,,45,45,0,,0,,0,0,,,,,,45,0,0,0,paid,fulfilled,,,,,,,,Manish,,,,
SA6234,SA-Q2I-2007-6237,"Nov 2, 2021 10:34",Main Register,Table 4,,4,Adrak Chai,Chai,,1,25,0,0,0,,25,374,0,,0,,0,0,,,,,,374,0,0,0,paid,fulfilled,,,,,,,,,,,,
SA6234,SA-Q2I-2007-6237,"Nov 2, 2021 10:34",,,,,Paneer Tandoori Momos,Momos,,1,120,0,0,0,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6234,SA-Q2I-2007-6237,"Nov 2, 2021 10:34",,,,,Classic Margherita Pizza,Pizza,,1,99,0,0,0,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6234,SA-Q2I-2007-6237,"Nov 2, 2021 10:34",,,,,Chocolate Shake,Shakes,,1,130,0,0,0,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6235,SA-Q2I-2007-6238,"Nov 2, 2021 11:50",Main Register,Table 5,,2,Veg Maggi,Maggi Maggi Maggi,,3,195,0,0,0,,195,220,0,,0,,0,0,,,,,,220,0,0,0,paid,fulfilled,,,,,,,,Kahkashan,,,,
SA6235,SA-Q2I-2007-6238,"Nov 2, 2021 11:50",,,,,Adrak Chai,Chai,,1,25,0,0,0,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6236,SA-Q2I-2007-6239,"Nov 2, 2021 13:32",Main Register,Table 5,,3,Adrak Chai,Chai,,1,25,0,0,0,,25,154,0,,36.79,,36.79,-0.21,,,,,,117,0,0,0,paid,fulfilled,,,,,,,,Manas,,,Bingage,Wallet
SA6236,SA-Q2I-2007-6239,"Nov 2, 2021 13:32",,,,,Elaichi Chai,Chai,,1,30,0,0,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6236,SA-Q2I-2007-6239,"Nov 2, 2021 13:32",,,,,Classic Margherita Pizza,Pizza,,1,99,0,0,0,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6237,SA-Q2I-2007-6240,"Nov 2, 2021 13:36",Main Register,Table 3,,1,Laung Kaali Mirch Chai,Chai,,1,45,0,0,0,,45,45,0,,0,,0,0,,,,,,45,0,0,0,paid,fulfilled,,,,,,,,Niharika,,,,
SA6238,SA-Q2I-2007-6241,"Nov 2, 2021 14:47",Main Register,Table 4,,1,Butter Maggi,Maggi Maggi Maggi,,4,200,0,0,0,,200,200,0,,0,,0,0,,,,,,200,0,0,0,paid,fulfilled,,,,,,,,sumen pandey,,,,
SA6240,SA-Q2I-2007-6242,"Nov 2, 2021 15:14",Main Register,Table 5,,3,Spinach Corn Sandwich,Grilled Sandwiches,,1,130,0,0,0,,130,260,0,,0,,0,0,,,,,,260,0,0,0,paid,fulfilled,,,,,,,,gufran,,,,
SA6240,SA-Q2I-2007-6242,"Nov 2, 2021 15:14",,,,,Masala Chai,Chai,,1,35,0,0,0,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6240,SA-Q2I-2007-6242,"Nov 2, 2021 15:14",,,,,Butterscotch Shake,Shakes,,1,95,0,0,0,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6239,SA-Q2I-2007-6243,"Nov 2, 2021 15:27",Main Register,Take-Away-1,,2,Tandoori Veggie Wrap,Wraps,,1,95,0,0,0,,95,190,0,,0,,0,0,,,5,,,195,0,0,0,paid,fulfilled,,,,,,,,,,,,
SA6239,SA-Q2I-2007-6243,"Nov 2, 2021 15:27",,,,,Virgin Mojito,Iced Tea / Mocktails / Coolers,,1,95,0,0,0,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6246,SA-Q2I-2007-6244,"Nov 2, 2021 15:38",Main Register,Table 4,,8,Peri Peri Paneer Pizza,Pizza,,1,199,0,0,0,,199,848,0,,4.9,,4.9,-0.1,,,,,,843,0,0,0,paid,fulfilled,,,,,,,,Tanmay,,,Bingage,Wallet
SA6246,SA-Q2I-2007-6244,"Nov 2, 2021 15:38",,,,,Cold Drink - Thumbs Up,Unchai,,4,140,0,0,0,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6246,SA-Q2I-2007-6244,"Nov 2, 2021 15:38",,,,,Peri Peri Fries,Fries & Nachos,,1,110,0,0,0,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6246,SA-Q2I-2007-6244,"Nov 2, 2021 15:38",,,,,Butter Maggi,Maggi Maggi Maggi,,1,50,0,0,0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6246,SA-Q2I-2007-6244,"Nov 2, 2021 15:38",,,,,Aloo Samosa (2Pcs),Samosas & More,,1,25,0,0,0,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6246,SA-Q2I-2007-6244,"Nov 2, 2021 15:38",,,,,Fresh Veggie Pizza,Pizza,,1,159,0,0,0,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6246,SA-Q2I-2007-6244,"Nov 2, 2021 15:38",,,,,Paneer Makhani Grilled Sandwich,Grilled Sandwiches,,1,150,0,0,0,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6246,SA-Q2I-2007-6244,"Nov 2, 2021 15:38",,,,,Water (500 ml),Unchai,,1,15,0,0,0,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6241,SA-Q2I-2007-6245,"Nov 2, 2021 15:54",Main Register,Take-Away-2,,2,Adrak Chai,Chai,,1,25,0,0,0,,25,60,0,,0,,0,0,,,,,,60,0,0,0,paid,fulfilled,,,,,,,,,,,,
SA6241,SA-Q2I-2007-6245,"Nov 2, 2021 15:54",,,,,Masala Chai,Chai,,1,35,0,0,0,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6243,SA-Q2I-2007-6246,"Nov 2, 2021 16:01",Main Register,Table 6,,2,Butter Maggi,Maggi Maggi Maggi,,1,50,0,0,0,,50,85,0,,0,,0,0,,,,,,85,0,0,0,paid,fulfilled,,,,,,,,vartika,,,,
SA6243,SA-Q2I-2007-6246,"Nov 2, 2021 16:01",,,,,Cold Drink - Thumbs Up,Unchai,,1,35,0,0,0,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6242,SA-Q2I-2007-6247,"Nov 2, 2021 16:07",Main Register,Table 2,,0,,,,,,,,,,,0,0,,0,,0,0,,,,,,0,0,0,0,unpaid,unfulfilled,cancelled,,,,,,,,,,,
SA6244,SA-Q2I-2007-6248,"Nov 2, 2021 16:26",Main Register,Table 2,,1,Fresh Veggie Sandwich,Grilled Sandwiches,,1,100,0,0,0,,100,100,0,,0,,0,0,,,,,,100,0,0,0,paid,fulfilled,,,,,,,,Aditya,,,,
SA6245,SA-Q2I-2007-6249,"Nov 2, 2021 16:46",Main Register,Table 6,,2,Adrak Chai,Chai,,2,50,0,0,0,,50,75,0,,0,,0,0,,,,,,75,0,0,0,paid,fulfilled,,,,,,,,,,,,
SA6245,SA-Q2I-2007-6249,"Nov 2, 2021 16:46",,,,,Aloo Samosa (2Pcs),Samosas & More,,1,25,0,0,0,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6247,SA-Q2I-2007-6250,"Nov 2, 2021 17:01",Main Register,Table 2,,2,White Sauce / Alfredo Penne Pasta,Pasta,,1,150,0,0,0,,150,220,0,,0,,0,0,,,,,,220,0,0,0,paid,fulfilled,,,,,,,,ayush,,,,
SA6247,SA-Q2I-2007-6250,"Nov 2, 2021 17:01",,,,,Cold Drink - Thumbs Up,Unchai,,2,70,0,0,0,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6248,SA-Q2I-2007-6251,"Nov 2, 2021 17:21",Main Register,Table 4,,2,Virgin Mojito,Iced Tea / Mocktails / Coolers,,3,285,0,0,0,,285,435,0,,0,,0,0,,,,,,435,0,0,0,paid,fulfilled,,,,,,,,tanishka,,,,
SA6248,SA-Q2I-2007-6251,"Nov 2, 2021 17:21",,,,,White Sauce / Alfredo Penne Pasta,Pasta,,1,150,0,0,0,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6249,SA-Q2I-2007-6252,"Nov 2, 2021 17:24",Main Register,Take-Away-3,,1,Mixed Sauce Penne Pasta,Pasta,,1,165,0,0,0,,165,165,0,,0,,0,0,,,,,,165,0,0,0,paid,fulfilled,,,,,,,,deepika,,,,
SA6250,SA-Q2I-2007-6253,"Nov 2, 2021 17:37",Main Register,Table 5,,4,Classic Hot Coffee,Coffee,,1,50,0,0,0,,50,414,0,,0,,0,0,,,,,,414,0,0,0,paid,fulfilled,,,,,,,,kokil,,,,
SA6250,SA-Q2I-2007-6253,"Nov 2, 2021 17:37",,,,,Cold Coffee - Regular,Coffee,,1,95,0,0,0,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6250,SA-Q2I-2007-6253,"Nov 2, 2021 17:37",,,,,Onion + Capsicum Pizza,Pizza,,1,119,0,0,0,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6250,SA-Q2I-2007-6253,"Nov 2, 2021 17:37",,,,,White Sauce / Alfredo Penne Pasta,Pasta,,1,150,0,0,0,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6252,SA-Q2I-2007-6254,"Nov 2, 2021 18:04",Main Register,Table 2,,3,Capsicum + Sweet Corn Pizza,Pizza,,2,238,0,0,0,,238,303,0,,35.29,,35.29,0.29,,,,,,268,0,0,0,paid,fulfilled,,,,,,,,harshit,,,Bingage,Wallet
SA6252,SA-Q2I-2007-6254,"Nov 2, 2021 18:04",,,,,Butter Maggi,Maggi Maggi Maggi,,1,50,0,0,0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6252,SA-Q2I-2007-6254,"Nov 2, 2021 18:04",,,,,Water (500 ml),Unchai,,1,15,0,0,0,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6251,SA-Q2I-2007-6255,"Nov 2, 2021 18:06",Main Register,Table 4,,2,Veg Maggi,Maggi Maggi Maggi,,1,65,0,0,0,,65,160,0,,0,,0,0,,,,,,160,0,0,0,paid,fulfilled,,,,,,,,priyam,,,,
SA6251,SA-Q2I-2007-6255,"Nov 2, 2021 18:06",,,,,Virgin Mojito,Iced Tea / Mocktails / Coolers,,1,95,0,0,0,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA6253,SA-Q2I-2007-6256,"Nov 2, 2021 18:32",Main Register,Table 3,,2,Bun Maska,Maska Bun,,3,120,0,0,0,,120,195,0,,11.05,,11.05,0.05,,,,,,184,0,0,0,paid,fulfilled,,,,,,,,karan,,,Bingage,Wallet
SA6253,SA-Q2I-2007-6256,"Nov 2, 2021 18:32",,,,,Adrak Chai,Chai,,3,75,0,0,0,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
